Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
34,275,33.7347,M,1,2,local,STIPreEmigrating,0,51,13,0,1,MARITAL,MIGRATING,215,1,0
34,143,38.3352,F,2,0,N/A,STIPostImmigrating,0,29,22,0,1,MARITAL,MIGRATING,219,0,2
34,215,28.5906,F,2,0,N/A,STIPostImmigrating,0,51,13,0,1,MARITAL,MIGRATING,275,0,2
34,219,51.826,M,2,0,N/A,STIPostImmigrating,0,29,22,0,1,MARITAL,NORMAL,143,2,2
34,275,33.7347,M,2,0,N/A,STIPostImmigrating,0,51,13,0,1,MARITAL,NORMAL,215,2,2
35,25,20.8239,F,1,2,local,STIPreEmigrating,0,43,12,0,1,MARITAL,MIGRATING,201,1,1
35,201,24.3185,M,1,2,local,STIPreEmigrating,0,43,12,0,1,MARITAL,MIGRATING,25,1,0
35,61,58.122,M,1,0,N/A,STIPostImmigrating,0,7,10,0,1,MARITAL,MIGRATING,333,1,0
35,333,77.1166,F,1,0,N/A,STIPostImmigrating,0,7,10,0,1,MARITAL,NORMAL,61,1,1
35,61,58.122,M,2,1,local,STIPreEmigrating,0,7,10,0,1,MARITAL,MIGRATING,333,2,2
35,333,77.1166,F,2,1,local,STIPreEmigrating,0,7,10,0,1,MARITAL,MIGRATING,61,0,2
35,25,20.8239,F,2,0,N/A,STIPostImmigrating,0,43,12,0,1,MARITAL,MIGRATING,201,0,2
35,201,24.3185,M,2,0,N/A,STIPostImmigrating,0,43,12,0,1,MARITAL,NORMAL,25,2,2
36,338,37.8512,F,1,0,N/A,STIPostImmigrating,0,56,18,0,1,MARITAL,MIGRATING,240,0,1
36,240,45.351,M,1,0,N/A,STIPostImmigrating,0,56,18,0,1,MARITAL,NORMAL,338,1,1
36,338,37.8512,F,2,1,local,STIPreEmigrating,0,56,18,0,1,MARITAL,MIGRATING,240,2,2
36,240,45.351,M,2,1,local,STIPreEmigrating,0,56,18,0,1,MARITAL,MIGRATING,338,2,0
37,197,27.4434,M,1,2,local,STIPreEmigrating,0,71,8,0,1,MARITAL,MIGRATING,96,1,1
37,96,21.6033,F,1,2,local,STIPreEmigrating,0,71,8,0,1,MARITAL,MIGRATING,197,0,1
37,197,27.4434,M,2,0,N/A,STIPostImmigrating,0,71,8,0,1,MARITAL,MIGRATING,96,2,0
37,96,21.6033,F,2,0,N/A,STIPostImmigrating,0,71,8,0,1,MARITAL,NORMAL,197,2,2
40,16,33.7115,M,1,0,N/A,STIPostImmigrating,0,2,12,0,1,MARITAL,MIGRATING,86,1,0
40,86,31.165,F,1,0,N/A,STIPostImmigrating,0,2,12,0,1,MARITAL,NORMAL,16,1,1
40,16,33.7115,M,2,1,local,STIPreEmigrating,0,2,12,0,1,MARITAL,MIGRATING,86,2,2
40,86,31.165,F,2,1,local,STIPreEmigrating,0,2,12,0,1,MARITAL,MIGRATING,16,0,2
42,275,33.7567,M,1,0,N/A,STIPostImmigrating,0,51,14,0,1,MARITAL,MIGRATING,215,1,0
42,215,28.6125,F,1,0,N/A,STIPostImmigrating,0,51,14,0,1,MARITAL,NORMAL,275,1,1
42,275,33.7567,M,2,1,local,STIPreEmigrating,0,51,14,0,1,MARITAL,MIGRATING,215,2,2
42,215,28.6125,F,2,1,local,STIPreEmigrating,0,51,14,0,1,MARITAL,MIGRATING,275,0,2
43,42,23.7599,F,1,2,local,STIPreEmigrating,0,75,7,0,1,MARITAL,MIGRATING,259,1,1
43,259,29.2086,M,1,2,local,STIPreEmigrating,0,75,7,0,1,MARITAL,MIGRATING,42,1,0
43,240,45.3702,M,1,2,local,STIPreEmigrating,0,56,23,0,1,MARITAL,MIGRATING,338,1,1
43,338,37.8703,F,1,2,local,STIPreEmigrating,0,56,23,0,1,MARITAL,MIGRATING,240,0,1
43,90,59.8245,M,1,0,N/A,STIPostImmigrating,0,18,10,0,1,MARITAL,MIGRATING,116,1,0
43,116,63.6429,F,1,0,N/A,STIPostImmigrating,0,18,10,0,1,MARITAL,NORMAL,90,1,1
43,149,48.6564,F,1,0,N/A,STIPostImmigrating,0,9,12,0,1,MARITAL,MIGRATING,67,0,1
43,67,53.3579,M,1,0,N/A,STIPostImmigrating,0,9,12,0,1,MARITAL,NORMAL,149,1,1
43,90,59.8245,M,2,1,local,STIPreEmigrating,0,18,10,0,1,MARITAL,MIGRATING,116,2,2
43,116,63.6429,F,2,1,local,STIPreEmigrating,0,18,10,0,1,MARITAL,MIGRATING,90,0,2
43,149,48.6564,F,2,1,local,STIPreEmigrating,0,9,12,0,1,MARITAL,MIGRATING,67,2,2
43,67,53.3579,M,2,1,local,STIPreEmigrating,0,9,12,0,1,MARITAL,MIGRATING,149,2,0
43,42,23.7599,F,2,0,N/A,STIPostImmigrating,0,75,7,0,1,MARITAL,MIGRATING,259,0,2
43,259,29.2086,M,2,0,N/A,STIPostImmigrating,0,75,7,0,1,MARITAL,NORMAL,42,2,2
